Alloy ID,Alloy,Al,Co,Cr,Fe,Ni,Cu,Mn,Ti,V,Nb,Mo,Zr,Hf,Ta,W,C,Mg,Zn,Si,Re,N,Sc,Li,Sn,Be,Num_of_Elem,dHmix,dSmix,dGmix,Tm,Atom.Size.Diff,Elect.Diff,VEC,Sythesis_Route,Microstructure_,Microstructure,Phases,References
Alloy 0069,HfNbTaTiZr,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,5,2.72,13.38,655.02398,2523,4.01,0.12,4.4,AC,BCC,BCC,BCC_SS,10.1016/j.matlet.2016.08.060
Alloy 0070,HfNbTaTiZr,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,5,2.72,13.38,655.02398,2523,4.01,0.12,4.4,AC,BCC,BCC,BCC_SS,10.1016/j.matlet.2016.08.060
Alloy 0071,HfNbTaTiZr,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,5,2.72,13.38,655.02398,2523,4.01,0.12,4.4,AC,BCC,BCC,BCC_SS,10.1016/j.matlet.2016.08.060
Alloy 0072,HfNbTaTiZr,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,5,2.72,13.38,655.02398,2523,4.01,0.12,4.4,AC,BCC,BCC,BCC_SS,10.1016/j.actamat.2017.09.062
Alloy 0073,HfNbTaTiZr,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,5,2.72,13.38,655.02398,2523,4.01,0.12,4.4,AC,BCC,BCC,BCC_SS,10.1016/j.msea.2015.08.024
Alloy 0074,HfNbTaTiZr,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,5,2.72,13.38,655.02398,2523,4.01,0.12,4.4,AC,BCC,BCC,BCC_SS,10.1016/j.matchar.2015.11.018
Alloy 0075,HfNbTaTiZr,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,5,2.72,13.38,655.02398,2523,4.01,0.12,4.4,AC,BCC,BCC,BCC_SS,10.1016/j.msea.2015.12.017
Alloy 0076,HfNbTaTiZr,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,5,2.72,13.38,655.02398,2523,4.01,0.12,4.4,AC,BCC,BCC,BCC_SS,10.1016/j.msea.2015.12.017
Alloy 0077,HfNbTaTiZr,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,5,2.72,13.38,655.02398,2523,4.01,0.12,4.4,AC,BCC,BCC,BCC_SS,10.1016/j.msea.2015.12.017
Alloy 0078,HfNbTaTiZr,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,5,2.72,13.38,655.02398,2523,4.01,0.12,4.4,AC,BCC,BCC,BCC_SS,10.1016/j.msea.2015.12.017
Alloy 0079,HfNbTaZr,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,4,3.5,11.53,697.736195,2668.5,3.95,0.12,4.5,AC,BCC,BCC,BCC_SS,10.1016/j.actamat.2016.01.018
